"","datetime","tweet_id","text","user_id","location","retweet","like","reply","language","url","rendered_content","user_description","user_created","user_amount_followers","user_amount_friends","user_amount_status","user_listed_count","user_media_count","quote_count","source_tweet","retweeted_tweet","quoted_tweet"
"1","2020-03-15 12:16:31+00:00",1239163565996748800,"Knog Knog poops brian eno #blacklivesmatter",949481193652850688,"Towson, MD",0,0,0,"nl","https://twitter.com/DeclanMcGeese/status/1239163565996748800","Knog Knog poops brian eno #blacklivesmatter","cum","2018-01-06 03:22:11+00:00",37,4,25386,0,267,0,"<a href=""http://www.sexyboys.fun"" rel=""nofollow"">Declan McGee</a>",NA,""
"2","2020-03-11 17:07:58+00:00",1237787362425556992,"#donkergetinte #negroide #negers https://t.co/HR6kA7zoa9 #kfc #migration #kansenparels #wirschaffendas #blacklivesmatter Gewelddadige en gewapende overval op KFC in #Amsterdam #Islamsterdam #lievestad",26516292,"",0,0,0,"nl","https://twitter.com/FelizFeliz/status/1237787362425556993","#donkergetinte #negroide #negers vkmag.com/magazine/gewelâ€¦ #kfc #migration #kansenparels #wirschaffendas #blacklivesmatter Gewelddadige en gewapende overval op KFC in #Amsterdam #Islamsterdam #lievestad","#Christianlivesmatter #WhiteLivesMatter #UnbornLivesMatter
ðŸ‡ªðŸ‡¸ ðŸ’š âœ","2009-03-25 15:12:41+00:00",1356,2999,118175,7,466,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,""
"3","2020-03-09 19:07:38+00:00",1237092701809643520,"@ZanBizar @AMRuijgrok020 @Veldhorst__W Heel simpel daar ben ik dus van de week voor uitgemaakt. Waarom #blacklivesmatter ipv #AllLivesMatter? Ben ik dan als joodse minder?",785534811406467072,"Hoorn, Nederland",0,0,1,"nl","https://twitter.com/melissanl78/status/1237092701809643524","@ZanBizar @AMRuijgrok020 @Veldhorst__W Heel simpel daar ben ik dus van de week voor uitgemaakt. Waarom #blacklivesmatter ipv #AllLivesMatter? Ben ik dan als joodse minder?","Het is jouw gedrag dat bepaalt hoe ik jou behandel. Woont samen met @marconan1977","2016-10-10 17:37:48+00:00",88,175,3241,0,265,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,""
"4","2020-03-08 16:39:54+00:00",1236693136300290048,"Gutman is duidelijk al even niet in de VS geweest. Mag ik eraan herinneren dat onder ""zijn"" president Obama de steden in brand stonden door #BlackLivesMatter tuig? https://t.co/VvBYbhP1bR",2892654323,"Flanders, Europe",0,2,0,"nl","https://twitter.com/DeMondige/status/1236693136300290048","Gutman is duidelijk al even niet in de VS geweest. Mag ik eraan herinneren dat onder ""zijn"" president Obama de steden in brand stonden door #BlackLivesMatter tuig? twitter.com/De7deDag/statuâ€¦","Tweets with ;-), speaks in GIFs, conservative humanist & green Flemish nationalist. EDM-lover. Likes & RT's =/= endorsements. Dutch & English tweets.","2014-11-25 22:56:30+00:00",3022,1116,153279,12,12580,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,"https://twitter.com/De7deDag/status/1236620035176779776"
"5","2020-03-06 23:13:03+00:00",1236067296961064960,"Rebel, zei je? Shout naar collega-nudist @AlmaMathijsen ðŸ‘…ðŸ”¥ðŸ‰#boekenbal #drakendochter #blm #nudistbutmakeitfashion #bodyart #rebellenendwarsdenkers #shoutouttoallmyrealrebels https://t.co/mbZC4xrXJd",1675726603,"",5,80,8,"nl","https://twitter.com/ClariceGargard/status/1236067296961064960","Rebel, zei je? Shout naar collega-nudist @AlmaMathijsen ðŸ‘…ðŸ”¥ðŸ‰#boekenbal #drakendochter #blm #nudistbutmakeitfashion #bodyart #rebellenendwarsdenkers #shoutouttoallmyrealrebels https://t.co/mbZC4xrXJd","Journo | Columns @NRC â€¢ Verzet @ overal â€¢ Board @princeclausfund @hollandfestival â€¢ Rep @UN_Women NL2019 â€¢ Birthd @magazinelilith â€¢ Intersxtional â€¢ BendTheKnee","2013-08-16 13:08:13+00:00",13673,2828,23432,113,3166,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,""
"6","2020-03-05 20:42:20+00:00",1235666978867736576,"Feestje in #BRUSSEL!

Binnenkort op het evenement BLACK LIBERATION mogen geen blanken komen. Ze mogen alleen binnen als aangelijnd zijn door een zwarte.

Tenzij ze willen doneren of de plees schoon willen maken.

#racisme #discriminatie #BlackLivesMatter 

https://t.co/2ZjSaB8aa8 https://t.co/pUeXHJ8aBM",1110591255338192896,"The Netherlands",6,4,0,"nl","https://twitter.com/CommonSense_TV/status/1235666978867736584","Feestje in #BRUSSEL!

Binnenkort op het evenement BLACK LIBERATION mogen geen blanken komen. Ze mogen alleen binnen als aangelijnd zijn door een zwarte.

Tenzij ze willen doneren of de plees schoon willen maken.

#racisme #discriminatie #BlackLivesMatter 

commonsensetv.nl/evenement-brusâ€¦ https://t.co/pUeXHJ8aBM","CommonSenseTV - Nieuws en opinies gebaseerd op rationaliteit en gezond verstand.

commonsensetv.nl","2019-03-26 17:16:03+00:00",4523,839,19487,25,2601,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,""
"7","2020-03-05 14:30:37+00:00",1235573433708183552,"Broo waatt??? 7 8 skowtoes voor 1 pers die niets heeft gedaan?? #BlackLivesMatter https://t.co/mIs1HNFGGs",791325341470060544,"Village hidden in the weed",0,0,0,"nl","https://twitter.com/frits_06/status/1235573433708183552","Broo waatt??? 7 8 skowtoes voor 1 pers die niets heeft gedaan?? #BlackLivesMatter twitter.com/DrRJKavanagh/sâ€¦","Im a fun guy","2016-10-26 17:07:18+00:00",281,307,23281,0,3225,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,"https://twitter.com/DrRJKavanagh/status/1235442619276288002"
"8","2020-03-02 23:14:23+00:00",1234618082775138304,"@TristanvanDass1 @Oranjebloesem @erikstronks @HPdeTijdNL Nee absoluut niet. Je weet totaal niets over de #BlackLivesMatter beweging. Je hebt alleen de naam vertaald. Juist door antwoorden zoals dit (feitelijk onjuist, geen kennis van zaken, gelijkwaardigheid ondermijnend) is die beweging hard nodig. https://t.co/9CY9LaaQaH",342587279,"Amsterdam, Nederland",0,0,0,"nl","https://twitter.com/afca76/status/1234618082775138307","@TristanvanDass1 @Oranjebloesem @erikstronks @HPdeTijdNL Nee absoluut niet. Je weet totaal niets over de #BlackLivesMatter beweging. Je hebt alleen de naam vertaald. Juist door antwoorden zoals dit (feitelijk onjuist, geen kennis van zaken, gelijkwaardigheid ondermijnend) is die beweging hard nodig. https://t.co/9CY9LaaQaH","ðŸ‡§ðŸ‡· Rio de Janeiro (Botafogo). Woont in âŒâŒâŒ, Gek op Ajax.
Heeft helemaal niets met het rechtse geluid. Is dus een deugmensðŸ˜‰","2011-07-26 07:49:59+00:00",50,238,842,0,243,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,""
"9","2020-03-02 15:37:11+00:00",1234503025475104768,"@Oranjebloesem @erikstronks @HPdeTijdNL HÃ© Lola. Wat leuk dat je zo lief tegen me doet vandaag. Ik keek eventjes op je profiel en zag de #BlackLivesMatter maar zou het ook goed zijn als dat #AllLivesMatter zou worden. We willen toch niemand uitsluiten. Liefs",1175430806963216384,"Nederland",0,0,1,"nl","https://twitter.com/TristanvanDass1/status/1234503025475104773","@Oranjebloesem @erikstronks @HPdeTijdNL HÃ© Lola. Wat leuk dat je zo lief tegen me doet vandaag. Ik keek eventjes op je profiel en zag de #BlackLivesMatter maar zou het ook goed zijn als dat #AllLivesMatter zou worden. We willen toch niemand uitsluiten. Liefs","","2019-09-21 15:25:25+00:00",680,1029,7153,2,129,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,""
"10","2020-03-02 11:26:05+00:00",1234439832098738176,"@Marriott WTAF #BlackLivesMatter https://t.co/A4tBqJFufR",839824400702652416,"Houston, TX",0,0,0,"nl","https://twitter.com/FLWildcat/status/1234439832098738177","@Marriott WTAF #BlackLivesMatter twitter.com/DMVBlackLives/â€¦","#RacismIsNotAnOpinion or a mental illness. #BlackWomenLead #ValueUsAlive #BlackLivesMatter #climatebrawl #LoveIsLove #KamalaHarris202X she/her/hers","2017-03-09 13:05:15+00:00",2467,4999,50711,6,356,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,"https://twitter.com/DMVBlackLives/status/1234157402112610305"
